,Category,Player_Name,Player_Score
0,Points,Stephen Curry,42
1,Points,Dejounte Murray,41
2,Points,Jaylen Brown,36
3,Points,Luka Doncic,35
4,Points,Tyler Herro,35
5,Rebounds,Deandre Ayton,23
6,Rebounds,Anthony Davis,19
7,Rebounds,Nikola Vucevic,17
8,Rebounds,Lauri Markkanen,14
9,Rebounds,Rudy Gobert,13
10,Assists,Jamal Murray,14
11,Assists,Tyrese Haliburton,13
12,Assists,Luka Doncic,12
13,Assists,Nikola Jokic,11
14,Assists,Terry Rozier,9
15,Blocks,Clint Capela,5
16,Blocks,Chet Holmgren,4
17,Blocks,Trayce Jackson-Davis,4
18,Blocks,Dwight Powell,4
19,Blocks,Anthony Davis,3
20,Steals,Ryan Rollins,4
21,Steals,Cole Anthony,3
22,Steals,Desmond Bane,3
23,Steals,Jaylen Brown,3
24,Steals,Shai Gilgeous-Alexander,3
25,Turnovers,Cade Cunningham,7
26,Turnovers,Luka Doncic,6
27,Turnovers,Marcus Smart,6
28,Turnovers,Mikal Bridges,5
29,Turnovers,Jordan Clarkson,5
30,Three Pointers Made,Jaylen Brown,8
31,Three Pointers Made,Stephen Curry,7
32,Three Pointers Made,Luka Doncic,6
33,Three Pointers Made,Anthony Edwards,5
34,Three Pointers Made,Gary Harris,5
35,Free Throws Made,Cam Thomas,12
36,Free Throws Made,Zach LaVine,10
37,Free Throws Made,Shai Gilgeous-Alexander,9
38,Free Throws Made,Tyler Herro,9
39,Free Throws Made,Damian Lillard,9
40,Fantasy Points,Luka Doncic,67.4
41,Fantasy Points,Anthony Davis,67.3
42,Fantasy Points,Nikola Jokic,60.5
43,Fantasy Points,Dejounte Murray,59.9
44,Fantasy Points,Stephen Curry,58.5
