,Category,Team,Team_score
0,Points,Brooklyn Nets,133
1,Points,Golden State Warriors,130
2,Points,Atlanta Hawks,127
3,Points,Boston Celtics,126
4,Points,Dallas Mavericks,125
5,Rebounds,Golden State Warriors,64
6,Rebounds,Boston Celtics,51
7,Rebounds,Portland Trail Blazers,51
8,Rebounds,Utah Jazz,51
9,Rebounds,Dallas Mavericks,48
10,Assists,Charlotte Hornets,33
11,Assists,Denver Nuggets,32
12,Assists,Boston Celtics,31
13,Assists,Detroit Pistons,31
14,Assists,Utah Jazz,30
15,Blocks,Los Angeles Lakers,10
16,Blocks,Oklahoma City Thunder,10
17,Blocks,Brooklyn Nets,8
18,Blocks,Denver Nuggets,8
19,Blocks,Atlanta Hawks,7
20,Steals,Washington Wizards,12
21,Steals,Boston Celtics,11
22,Steals,Orlando Magic,10
23,Steals,Toronto Raptors,10
24,Steals,Memphis Grizzlies,9
25,Field Goal Percentage,Brooklyn Nets,56.3
26,Field Goal Percentage,Denver Nuggets,56.0
27,Field Goal Percentage,Atlanta Hawks,55.8
28,Field Goal Percentage,Los Angeles Lakers,53.2
29,Field Goal Percentage,Oklahoma City Thunder,53.0
30,Three Pointers Made,Dallas Mavericks,23
31,Three Pointers Made,Boston Celtics,19
32,Three Pointers Made,Minnesota Timberwolves,16
33,Three Pointers Made,Detroit Pistons,15
34,Three Pointers Made,Golden State Warriors,15
35,Three Point Percentage,Detroit Pistons,53.6
36,Three Point Percentage,Dallas Mavericks,48.9
37,Three Point Percentage,Minnesota Timberwolves,48.5
38,Three Point Percentage,Atlanta Hawks,46.7
39,Three Point Percentage,Oklahoma City Thunder,44.8
40,Free Throw Percentage,Charlotte Hornets,95.0
41,Free Throw Percentage,Miami Heat,95.0
42,Free Throw Percentage,Atlanta Hawks,94.4
43,Free Throw Percentage,Indiana Pacers,84.0
44,Free Throw Percentage,Chicago Bulls,83.9
